"Timestamp","What group are you in (A or B)? ","I think that I would like to use this system frequently.","I found the system unnecessarily complex.","I thought the system was easy to use.","I thought there was too much inconsistency in this system.","I would imagine that most people would learn to use this system very quickly.","I found the system very inconvenient to use.","I felt very confident using the system.","I needed to learn a lot of things before I could get going with this system.","I think that I would like to use this system frequently.","I found the system unnecessarily complex.","I thought the system was easy to use.","I thought there was too much inconsistency in this system.","I would imagine that most people would learn to use this system very quickly.","I found the system very inconvenient to use.","I felt very confident using the system.","I needed to learn a lot of things before I could get going with this system.","What do you think our research is about?","Any closing remarks?","","","",""
"2020/10/15 8:57:14 PM GMT+2","a","2","4","4","3","4","4","3","1","2","4","2","3","4","4","3","1","how people link the questions to what they experienced.","","3","1","2","1"
"2020/10/16 5:19:34 PM GMT+2","A","1","1","4","3","3","5","4","4","5","1","4","5","3","5","3","2","creating a chatbot for food delivery mobile app","Maybe include more food types","","","",""
"2020/10/16 5:31:59 PM GMT+2","A","4","3","4","3","4","3","4","2","4","2","4","3","4","2","4","2","User experience, but no idea what the independent variables are","Good luck!","","","",""
"2020/10/17 10:15:14 AM GMT+2","B","5","1","5","1","5","1","5","1","2","4","2","2","5","4","1","3","Chatbots","-","","","",""
"2020/10/17 3:46:26 PM GMT+2","A","4","2","4","2","5","1","4","1","4","2","4","2","3","1","4","1","I think it is about training a system for making restaurant recommendations.","Good job.","","","",""
"2020/10/17 5:33:07 PM GMT+2","B","4","2","5","2","5","2","5","2","4","2","5","2","2","2","5","2","About using a recommendation restaurant system, but I have no clue about what changed between one system and the other ","","","","",""
"2020/10/17 6:00:17 PM GMT+2","B","4","2","4","2","4","2","4","3","4","2","5","2","4","2","4","3","Time and convenience","","","","",""
"2020/10/17 6:40:05 PM GMT+2","A","4","2","4","4","3","2","3","1","2","3","4","3","2","3","2","4","chat bots","","","","",""
"2020/10/17 6:56:06 PM GMT+2","B","3","1","4","2","4","3","3","1","2","3","2","4","2","4","2","1","Chatbots","Try to make the second system more like the first one, and make improvements on that. ","","","",""
"2020/10/18 1:37:43 PM GMT+2","A","3","2","4","2","5","2","5","2","3","2","4","2","5","2","5","2","about how to optimize the use of chatbots","It could be more responsive/flexible still. had to search for certains words till the bot understood me. For the rest well done","","","",""
"2020/10/18 4:20:36 PM GMT+2","B","3","2","4","3","4","1","4","2","3","2","5","3","4","3","5","2","response speed?","no","","","",""
"2020/10/18 4:22:41 PM GMT+2","A","3","2","3","2","4","2","3","1","3","2","4","2","4","2","4","2","About ai learning to develop ","nooo","","","",""
"2020/10/18 4:48:37 PM GMT+2","B","1","3","2","4","4","2","2","4","2","4","2","4","2","4","1","4","Ability of cosumers to interact with chatbots","","","","",""
"2020/10/18 5:20:49 PM GMT+2","B","3","2","4","2","2","3","4","3","4","3","2","3","2","3","4","2","","Meer reactie mogelijkheden!","","","",""
"2020/10/18 6:01:03 PM GMT+2","A","4","1","5","1","5","1","4","1","4","1","5","2","5","1","5","1","","","","","",""
"2020/10/18 7:34:45 PM GMT+2","B","3","2","4","3","4","2","3","4","4","1","5","1","5","1","5","1","","","","","",""
"2020/10/19 10:02:50 AM GMT+2","A","1","4","4","2","2","1","1","2","1","3","3","2","3","1","2","4","developing a proper dialogue system","the system does not allow interaction with the customer","","","",""
"2020/10/19 9:58:22 PM GMT+2","A","1","2","2","3","4","5","2","3","1","2","2","2","4","5","2","3","no idea","annoying program to use","","","",""
"2020/10/19 10:09:02 PM GMT+2","B","3","2","2","2","4","3","2","2","3","2","4","2","3","2","2","2","if people would use this script for searching any kind of stuff","","","","",""
"2020/10/20 10:19:25 AM GMT+2","B","2","2","3","3","4","2","2","1","2","2","3","2","3","2","2","2","difference between 2 similar chatbots","","","","",""
"2020/10/20 10:36:56 AM GMT+2","A","1","1","2","1","4","4","2","1","1","1","4","1","4","4","1","1","It's about giving people good food advice","Gimme pizza","","","",""
"2020/10/20 12:26:20 PM GMT+2","B","1","5","5","3","4","4","4","3","1","4","2","3","4","4","2","4","de ene vraag is wat je wel wil en de andere wat je niet wil ","","","","",""
